City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,puerto maldonado,-12.6,-69.1833,24.22,57,0,2.57,PE,1699133238
83,bethel,41.3712,-73.414,14.05,56,0,0.0,US,1699133238
84,burang,30.25,81.1667,-0.14,41,0,2.02,CN,1699133238
85,kamina,-8.7386,24.9906,18.28,98,80,1.19,CD,1699133238
86,ushuaia,-54.8,-68.3,6.81,81,75,9.26,AR,1699133239
87,fougamou,-1.2154,10.5838,23.59,97,85,0.62,GA,1699133239
88,lihue,21.9789,-159.3672,28.19,69,75,6.17,US,1699133240
89,petropavlovsk-kamchatsky,53.0452,158.6483,1.33,79,75,6.0,RU,1699133038
90,taltal,-25.4,-70.4833,17.65,68,23,2.2,CL,1699133240
91,kijang,35.2442,129.2139,15.85,89,100,3.86,KR,1699133240
92,west island,-12.1568,96.8225,25.99,83,75,5.66,CC,1699133240
93,taoudenni,22.6783,-3.9836,30.87,10,0,2.2,ML,1699133241
94,ladario,-19.0047,-57.6017,29.16,17,0,2.06,BR,1699133241
95,klyuchi,52.2667,79.1667,1.47,92,100,4.51,RU,1699133241
96,whitehorse,60.7161,-135.0538,-0.57,100,100,1.54,CA,1699133241
97,hastings,50.8552,0.5729,12.86,44,100,11.07,GB,1699133241
98,siemiatycze,52.4272,22.8623,6.92,80,87,2.78,PL,1699133241
99,tolanaro,-25.0319,46.9987,20.04,83,75,5.66,MG,1699133242
100,acapulco de juarez,16.8634,-99.8901,29.74,70,94,4.15,MX,1699133167
101,ujae,8.9322,165.7642,28.59,78,45,9.54,MH,1699133242
102,fangshan,39.6983,115.9925,11.41,86,100,2.14,CN,1699133242
103,mao,39.8885,4.2658,19.31,88,75,11.83,ES,1699133242
104,udachny,66.4167,112.4,-19.2,83,100,3.45,RU,1699133242
105,cruz alta,-28.6386,-53.6064,15.42,77,37,3.09,BR,1699133242
106,port alfred,-33.5906,26.891,18.54,75,100,5.81,ZA,1699133243
107,jindrichuv hradec,49.144,15.003,7.84,85,100,3.38,CZ,1699133243
